mt
3920
10000 11
 0 -65 -65 -65 -65 -65 -65 -65 -65 -65 -65
 2 -65 -65 -65 -65 -65 -65 -65 -65 -65 -65
 2 -65 -65 -65 -65 -65 -65 -65 -65 -65 -65
 2.06247 -65 -65 -65 -65 -65 -65 -65 -65 -65 -65
 2.12494 -65 -65 -65 -65 -65 -65 -65 -65 -65 -65
 2.2376 -65 -65 -65 -65 -65 -65 -65 -65 -65 -65
 2.35027 -65 -65 -65 -65 -65 -65 -65 -65 -65 -65
 2.59678 -64.9998 -65 -65 -64.9998 -65 -65 -64.9998 -65 -65 -64.9998
 2.8433 -64.9991 -65 -65 -64.9991 -65 -65 -64.9991 -65 -65 -64.9991
 3.08981 -64.9974 -65 -65 -64.9974 -65 -65 -64.9974 -65 -65 -64.9974
 3.4986 -64.991 -65 -65 -64.991 -65 -65 -64.991 -65 -65 -64.991
 3.90738 -64.9783 -65 -65 -64.9783 -65 -65 -64.9783 -65 -65 -64.9783
 4.55456 -64.9417 -65 -65 -64.9417 -65 -65 -64.9417 -65 -65 -64.9417
 5.20174 -64.8815 -65 -65 -64.8815 -65 -65 -64.8815 -65 -65 -64.8815
 5.84892 -64.797 -65 -65 -64.797 -65 -65 -64.797 -65 -65 -64.797
 6.4961 -64.6891 -65 -65 -64.6891 -65 -65 -64.6891 -65 -65 -64.6891
 7.14329 -64.5599 -65 -65 -64.5599 -65 -65 -64.5599 -65 -65 -64.5599
 8.12496 -64.3283 -65 -65 -64.3283 -65 -65 -64.3283 -65 -65 -64.3283
 9.10663 -64.0602 -65 -65 -64.0602 -65 -65 -64.0602 -65 -65 -64.0602
 10.0883 -63.7626 -65 -65 -63.7626 -65 -65 -63.7626 -65 -65 -63.7626
 11.5924 -63.2635 -65 -65 -63.2635 -65 -65 -63.2635 -65 -65 -63.2635
 13.0966 -62.7287 -65 -65 -62.7287 -65 -65 -62.7287 -65 -65 -62.7287
 14.6007 -62.1724 -65 -65 -62.1724 -65 -65 -62.1724 -65 -65 -62.1724
 16.1048 -61.6055 -65 -65 -61.6055 -65 -65 -61.6055 -65 -65 -61.6055
 17.6089 -61.034 -65 -65 -61.034 -65 -65 -61.034 -65 -65 -61.034
 19.1131 -60.4652 -65 -65 -60.4652 -65 -65 -60.4652 -65 -65 -60.4652
 20.6172 -59.8983 -65 -65 -59.8983 -65 -65 -59.8983 -65 -65 -59.8983
 22.1213 -59.3346 -65 -65 -59.3346 -65 -65 -59.3346 -65 -65 -59.3346
 23.6254 -58.7538 -65 -65 -58.7538 -65 -65 -58.7538 -65 -65 -58.7538
 25.1296 -58.1655 -65 -65 -58.1655 -65 -65 -58.1655 -65 -65 -58.1655
 26.6337 -57.5379 -65 -65 -57.5379 -65 -65 -57.5379 -65 -65 -57.5379
 27.0097 -57.3733 -65 -65 -57.3733 -65 -65 -57.3733 -65 -65 -57.3733
 27.3858 -57.2043 -65 -65 -57.2043 -65 -65 -57.2043 -65 -65 -57.2043
 27.7618 -57.0289 -65 -65 -57.0289 -65 -65 -57.0289 -65 -65 -57.0289
 28.1378 -56.8545 -65 -65 -56.8545 -65 -65 -56.8545 -65 -65 -56.8545
 28.5139 -56.6766 -65 -65 -56.6766 -65 -65 -56.6766 -65 -65 -56.6766
 28.8899 -56.4819 -65 -65 -56.4819 -65 -65 -56.4819 -65 -65 -56.4819
 29.2659 -56.283 -65 -65 -56.283 -65 -65 -56.283 -65 -65 -56.283
 29.642 -56.0702 -65 -65 -56.0702 -65 -65 -56.0702 -65 -65 -56.0702
 29.736 -56.0125 -65 -65 -56.0125 -65 -65 -56.0125 -65 -65 -56.0125
 29.83 -55.9543 -65 -65 -55.9543 -65 -65 -55.9543 -65 -65 -55.9543
 29.924 -55.8973 -65 -65 -55.8973 -65 -65 -55.8973 -65 -65 -55.8973
 30.018 -55.8379 -65 -65 -55.8379 -65 -65 -55.8379 -65 -65 -55.8379
 30.112 -55.7743 -65 -65 -55.7743 -65 -65 -55.7743 -65 -65 -55.7743
 30.206 -55.7089 -65 -65 -55.7089 -65 -65 -55.7089 -65 -65 -55.7089
 30.3 -55.647 -65 -65 -55.647 -65 -65 -55.647 -65 -65 -55.647
 30.394 -55.5836 -65 -65 -55.5836 -65 -65 -55.5836 -65 -65 -55.5836
 30.488 -55.5143 -65 -65 -55.5143 -65 -65 -55.5143 -65 -65 -55.5143
 30.582 -55.4438 -65 -65 -55.4438 -65 -65 -55.4438 -65 -65 -55.4438
 30.676 -55.3741 -65 -65 -55.3741 -65 -65 -55.3741 -65 -65 -55.3741
 30.77 -55.3054 -65 -65 -55.3054 -65 -65 -55.3054 -65 -65 -55.3054
 30.8641 -55.2265 -65 -65 -55.2265 -65 -65 -55.2265 -65 -65 -55.2265
 30.9244 -55.1686 -65 -65 -55.1686 -65 -65 -55.1686 -65 -65 -55.1686
 30.9657 -55.1314 -65 -65 -55.1314 -65 -65 -55.1314 -65 -65 -55.1314
 31.0069 -55.0976 -65 -65 -55.0976 -65 -65 -55.0976 -65 -65 -55.0976
 31.0481 -55.0642 -65 -65 -55.0642 -65 -65 -55.0642 -65 -65 -55.0642
 31.0894 -55.0284 -65 -65 -55.0284 -65 -65 -55.0284 -65 -65 -55.0284
 31.1306 -54.9904 -65 -65 -54.9904 -65 -65 -54.9904 -65 -65 -54.9904
 31.2022 -54.9226 -65 -65 -54.9226 -65 -65 -54.9226 -65 -65 -54.9226
 31.2738 -54.8543 -65 -65 -54.8543 -65 -65 -54.8543 -65 -65 -54.8543
