mt
9972
50000 11
 0 -65 -65 -65 -65 -65 -65 -65 -65 -65 -65
 2 -65 -65 -65 -65 -65 -65 -65 -65 -65 -65
 2 -65 -65 -65 -65 -65 -65 -65 -65 -65 -65
 2.0473 -65 -65 -65 -65 -65 -65 -65 -65 -65 -65
 2.09459 -65 -65 -65 -65 -65 -65 -65 -65 -65 -65
 2.17776 -65 -65 -65 -65 -65 -65 -65 -65 -65 -65
 2.26093 -65 -65 -65 -65 -65 -65 -65 -65 -65 -65
 2.43971 -64.9999 -64.9999 -64.9999 -64.9999 -65 -65 -65 -65 -65 -65
 2.61849 -64.9997 -64.9996 -64.9996 -64.9997 -64.9999 -64.9999 -65 -64.9999 -65 -65
 2.79728 -64.999 -64.9987 -64.9989 -64.9992 -64.9997 -64.9998 -64.9999 -64.9998 -65 -64.9999
 3.09543 -64.996 -64.995 -64.9958 -64.9969 -64.9987 -64.9994 -64.9997 -64.9992 -64.9998 -64.9994
 3.39359 -64.9896 -64.9868 -64.9889 -64.992 -64.9967 -64.9983 -64.9992 -64.9978 -64.9996 -64.9985
 3.8716 -64.9683 -64.9596 -64.9662 -64.9755 -64.9899 -64.9948 -64.9977 -64.9932 -64.9988 -64.9954
 4.34962 -64.9294 -64.9103 -64.9249 -64.9455 -64.9774 -64.9885 -64.9948 -64.9847 -64.9973 -64.9898
 4.82764 -64.8703 -64.8355 -64.862 -64.8997 -64.9583 -64.9787 -64.9904 -64.9719 -64.995 -64.9812
 5.30565 -64.7901 -64.7342 -64.7768 -64.8375 -64.9323 -64.9654 -64.9844 -64.9543 -64.9919 -64.9694
 5.78367 -64.6893 -64.607 -64.6697 -64.759 -64.8994 -64.9485 -64.9768 -64.9319 -64.9879 -64.9544
 6.50735 -64.4997 -64.369 -64.4685 -64.6111 -64.8369 -64.9164 -64.9622 -64.8895 -64.9804 -64.9259
 7.23103 -64.2698 -64.0817 -64.2248 -64.431 -64.7601 -64.8768 -64.9443 -64.8373 -64.971 -64.8909
