mt
1156
10000 3
 12.0248 -65 -65
 11.4171 -65 -65
 10.8087 -65 -65
 10.1997 -65 -65
 9.59005 -65 -65
 8.97983 -65 -65
 8.36907 -65 -65
 7.75781 -65 -65
 7.14606 -65 -65
 6.53384 -65 -65
 5.92116 -65 -65
 5.30803 -65 -65
 4.69445 -65 -65
 4.08041 -65 -65
 3.46592 -65 -65
 3.08966 -65 -65
 2.71322 -65 -65
 2.33659 -65 -65
 1.95977 -65 -65
 1.58275 -65 -65
 1.52997 -65 -65
 1.52997 -65 -65
 1.52811 -65 -65
 1.52625 -65 -65
 1.52306 -65 -65
 1.51988 -65 -65
 1.51203 -65 -65
 1.50418 -65 -65
 1.49633 -65 -65
 1.48848 -65 -65
 1.48063 -65 -65
 1.466 -65 -65
 1.45137 -65 -65
 1.42117 -65 -65
 1.39097 -65 -65
 1.36077 -65 -65
 1.31292 -65 -65
 1.26507 -65 -65
 1.21721 -65 -65
 1.16936 -65 -65
 1.12149 -65 -65
 1.03939 -65 -65
 0.898013 -65 -65
 0.756608 -65 -65
 0.615173 -65 -65
 0.473707 -65 -65
 0.332209 -65 -65
 0.19068 -65 -65
 -0.0654725 -65 -65
 -0.321729 -65 -65
 -0.578089 -65 -65
 -1.00088 -65 -65
 -1.42396 -65 -65
 -1.84732 -65 -65
 -2.27097 -65 -65
 -2.69491 -65 -65
 -3.11913 -65 -65
 -3.54362 -65 -65
 -4.28298 -65 -65
 -5.02283 -65 -65
 -5.7627 -65 -65
 -6.50228 -65 -65
 -7.65253 -65 -65
 -8.80083 -65 -65
 -9.9464 -65 -65
 -11.0884 -65 -65
 -12.2265 -65 -65
 -13.3607 -65 -65
 -15.177 -65 -65
 -16.5802 -65 -65
 -16.5802 -65 -65
 -16.5808 -65 -65
 -16.8133 -65 -65
 -17.0456 -65 -65
 -17.4264 -65 -65
 -18.197 -65 -65
 -18.9662 -65 -65
 -19.7339 -65 -65
 -21.5096 -65 -65
 -23.2765 -65 -65
 -25.0335 -65 -65
 -25.0757 -65 -65
 -25.0757 -65 -65
 -25.0774 -65 -65
 -25.0792 -65 -65
 -25.0823 -65 -65
 -25.0853 -65 -65
 -25.0929 -65 -65
 -25.1004 -65 -65
 -25.1079 -65 -65
 -25.1155 -65 -65
 -25.123 -65 -65
 -25.137 -65 -65
 -25.151 -65 -65
 -25.18 -65 -65
 -25.209 -65 -65
